O1__sum_values,O1__median,O1__mean,O1__length,O1__standard_deviation,O1__variance,O1__root_mean_square,O1__maximum,O1__absolute_maximum,O1__minimum,O2__sum_values,O2__median,O2__mean,O2__length,O2__standard_deviation,O2__variance,O2__root_mean_square,O2__maximum,O2__absolute_maximum,O2__minimum
413175.89999999997,4089.74,4090.8504950495044,101.0,6.164239953990386,37.997854210371386,4090.8551392955715,4109.74,4109.74,4077.44,466584.07999999996,4620.0,4619.644356435643,101.0,9.094689280051105,82.71337310067649,4619.653308779869,4638.97,4638.97,4592.82
413076.42000000004,4088.72,4089.865544554456,101.0,7.000439233072128,49.006149455935486,4089.8715357188385,4109.74,4109.74,4075.38,466596.9,4620.0,4619.771287128713,101.0,8.939250490583587,79.91019933339891,4619.779935838743,4638.97,4638.97,4592.82
413072.83,4088.72,4089.8300000000004,101.0,7.035253096983339,49.49478613861366,4089.8360509543827,4109.74,4109.74,4075.38,466631.24,4620.51,4620.111287128713,101.0,8.58757087835813,73.74637359082465,4620.119268138835,4638.46,4638.46,4592.82
412997.95000000007,4088.21,4089.088613861387,101.0,7.413903453326959,54.96596441525341,4089.0953349090855,4109.74,4109.74,4073.33,466655.34,4620.51,4620.349900990099,101.0,8.650422240601436,74.82980494069197,4620.357998833441,4640.0,4640.0,4592.82
412813.33,4087.18,4087.2606930693073,101.0,8.879876711460815,78.85221041074415,4087.27033915299,4109.74,4109.74,4065.13,466587.12,4620.0,4619.6744554455445,101.0,8.952736124191363,80.151484109401,4619.68313045172,4640.0,4640.0,4592.82
412521.01,4085.13,4084.3664356435643,101.0,10.810053130373687,116.85724868150193,4084.38074105003,4109.74,4109.74,4053.33,466441.49000000005,4619.49,4618.232574257427,101.0,10.260296509473196,105.27368446230786,4618.243971859524,4640.0,4640.0,4592.82
412322.56,4083.59,4082.401584158416,101.0,11.05172937792622,122.14072224291746,4082.416543551305,4109.74,4109.74,4053.33,466247.13,4618.97,4616.308217821782,101.0,11.721133101380472,137.384961180277,4616.323098190821,4640.0,4640.0,4584.62
412102.59,4080.51,4080.223663366337,101.0,9.93113712520117,98.62748459954895,4080.2357493874306,4099.49,4099.49,4053.33,466038.91000000003,4618.46,4614.246633663367,101.0,12.529689278679415,156.99311342025388,4614.263645413765,4640.0,4640.0,4581.03
411882.07,4077.95,4078.040297029703,101.0,9.106611509178368,82.9303731790999,4078.0504649368045,4097.44,4097.44,4053.33,465995.83999999997,4615.9,4613.820198019802,101.0,12.423415290713805,154.34124748554157,4613.836923960682,4640.0,4640.0,4581.03
411716.41000000003,4076.41,4076.400099009901,101.0,8.529308875353689,72.74910989118719,4076.4090222054288,4093.33,4093.33,4053.33,465971.23000000004,4614.87,4613.576534653465,101.0,13.503853680671956,182.35406422899754,4613.596297376843,4640.0,4640.0,4581.03
411664.6400000001,4075.38,4075.887524752476,101.0,8.276094215105829,68.49373545730816,4075.8959270531327,4093.33,4093.33,4053.33,465997.9200000001,4614.87,4613.840792079209,101.0,13.790598511065527,190.18060729340274,4613.861401826174,4640.0,4640.0,4581.03
411844.15,4075.9,4077.6648514851486,101.0,10.818926816149137,117.0491774531909,4077.679203936334,4107.69,4107.69,4053.33,466276.89999999997,4618.46,4616.602970297029,101.0,17.027594932847634,289.9389891971385,4616.634371958056,4658.46,4658.46,4581.03
411982.1000000001,4075.9,4079.0306930693077,101.0,12.77187498407198,163.12079060876366,4079.050688063594,4107.69,4107.69,4053.33,466563.07999999996,4618.46,4619.4364356435635,101.0,20.129124832025987,405.1816665032852,4619.480291614828,4661.54,4661.54,4581.03
412137.99,4076.41,4080.5741584158413,101.0,13.786813995021486,190.0762401333203,4080.597448728714,4107.69,4107.69,4053.33,466770.26999999996,4618.97,4621.487821782178,101.0,20.91713611788623,437.5265833741807,4621.535157657502,4661.54,4661.54,4581.03
412333.88999999996,4078.46,4082.513762376237,101.0,14.070511883240284,197.97930465640607,4082.5380095347596,4107.69,4107.69,4053.33,466955.93,4626.67,4623.32603960396,101.0,21.107198344143804,445.5138219390269,4623.374220447873,4661.54,4661.54,4581.03
412604.15,4086.15,4085.189603960396,101.0,13.23451076128911,175.15227509067725,4085.211041376099,4107.69,4107.69,4061.03,467252.86,4630.77,4626.265940594059,101.0,20.307956845630656,412.41311124399704,4626.310513380169,4661.54,4661.54,4581.03
412897.46,4089.74,4088.093663366337,101.0,13.064305366094242,170.6760746985588,4088.1145380885177,4113.33,4113.33,4061.03,467587.73,4633.85,4629.581485148515,101.0,18.50741549993958,342.5244284874038,4629.618478023693,4661.54,4661.54,4581.03
413194.3600000001,4093.85,4091.0332673267335,101.0,12.605460164477874,158.89762595823854,4091.052687512103,4113.33,4113.33,4061.03,468021.07,4635.9,4633.87198019802,101.0,14.084579730252,198.3753861778255,4633.893385075934,4661.54,4661.54,4588.72
413492.81,4096.92,4093.988217821782,101.0,11.25230584915155,126.6143869228502,4094.003681245352,4113.33,4113.33,4061.03,468252.86,4637.95,4636.166930693069,101.0,12.275679307498358,150.69230246054335,4636.183182484753,4661.54,4661.54,4588.72
413764.59,4097.95,4096.679108910891,101.0,8.517241000198643,72.54339425546478,4096.687962828166,4113.33,4113.33,4072.31,468349.24999999994,4636.92,4637.1212871287125,101.0,9.575741489617023,91.69482507597283,4637.131174160089,4661.54,4661.54,4617.44
413980.5,4100.51,4098.816831683168,101.0,6.280133840204137,39.440081050877154,4098.821642834718,4113.33,4113.33,4083.59,468257.9599999999,4636.92,4636.217425742573,101.0,10.659982227751168,113.63522109597075,4636.229680891597,4661.54,4661.54,4608.72
413996.39,4100.0,4098.974158415842,101.0,5.837275620353523,34.07378666797361,4098.97831479352,4113.33,4113.33,4083.59,468039.4800000001,4633.85,4634.054257425743,101.0,10.695525421995123,114.39426405254396,4634.066600193582,4661.54,4661.54,4608.72
