O1,O2,id
4092.82,4608.72,109
4087.69,4615.9,109
4086.15,4615.38,109
4089.74,4610.26,109
4091.28,4616.92,109
4089.74,4628.72,109
4091.28,4627.69,109
4094.36,4620.51,109
4090.77,4616.41,109
4085.64,4610.77,109
4088.21,4607.18,109
4092.31,4612.82,109
4091.79,4617.95,109
4089.74,4617.95,109
4088.21,4621.54,109
4087.18,4630.26,109
4088.21,4638.97,109
4087.69,4634.36,109
4086.67,4617.44,109
4087.69,4610.77,109
4089.74,4616.41,109
4087.69,4614.87,109
4085.64,4607.18,109
4086.67,4611.79,109
4092.31,4625.64,109
4100.51,4633.33,109
4097.95,4628.21,109
4082.05,4614.87,109
4077.44,4607.69,109
4085.64,4609.23,109
4087.69,4611.79,109
4088.72,4618.46,109
4094.36,4625.64,109
4094.87,4620.0,109
4088.21,4615.9,109
4087.18,4624.62,109
4094.87,4627.69,109
4097.95,4621.54,109
4092.82,4621.54,109
4087.18,4622.05,109
4089.23,4616.41,109
4092.82,4612.31,109
4092.31,4609.74,109
4096.92,4614.36,109
4102.05,4622.56,109
4095.9,4620.0,109
4085.64,4613.33,109
4088.72,4616.41,109
4099.49,4626.15,109
4100.51,4632.31,109
4100.51,4632.31,109
4099.49,4629.23,109
4095.9,4629.74,109
4094.87,4631.79,109
4088.21,4619.49,109
4082.05,4606.15,109
4087.69,4612.82,109
4091.28,4623.08,109
4085.64,4614.87,109
4086.67,4612.31,109
4100.0,4630.26,109
4109.74,4638.46,109
4108.72,4628.72,109
4105.13,4628.21,109
4103.08,4629.23,109
4095.38,4612.82,109
4086.15,4598.46,109
4082.56,4596.92,109
4080.51,4592.82,109
4081.03,4597.95,109
4088.21,4617.95,109
4091.79,4625.64,109
4090.26,4620.0,109
4093.85,4625.13,109
4099.49,4632.82,109
4095.38,4625.13,109
4090.26,4611.79,109
4093.85,4607.18,109
4097.95,4613.85,109
4096.92,4622.05,109
4094.87,4623.59,109
4094.36,4625.13,109
4088.72,4628.72,109
4083.08,4625.64,109
4089.23,4621.03,109
4097.44,4620.51,109
4096.41,4619.49,109
4088.72,4612.82,109
4084.1,4608.72,109
4083.08,4613.85,109
4084.62,4618.97,109
4086.67,4622.05,109
4086.15,4623.59,109
4089.23,4624.1,109
4091.79,4631.28,109
4087.69,4635.9,109
4084.1,4631.79,109
4085.13,4629.23,109
4082.05,4626.15,109
4080.51,4616.92,109
4085.13,4614.87,109
4088.21,4607.18,119
4092.31,4612.82,119
4091.79,4617.95,119
4089.74,4617.95,119
4088.21,4621.54,119
4087.18,4630.26,119
4088.21,4638.97,119
4087.69,4634.36,119
4086.67,4617.44,119
4087.69,4610.77,119
4089.74,4616.41,119
4087.69,4614.87,119
4085.64,4607.18,119
4086.67,4611.79,119
4092.31,4625.64,119
4100.51,4633.33,119
4097.95,4628.21,119
4082.05,4614.87,119
4077.44,4607.69,119
4085.64,4609.23,119
4087.69,4611.79,119
4088.72,4618.46,119
4094.36,4625.64,119
4094.87,4620.0,119
4088.21,4615.9,119
4087.18,4624.62,119
4094.87,4627.69,119
4097.95,4621.54,119
4092.82,4621.54,119
4087.18,4622.05,119
4089.23,4616.41,119
4092.82,4612.31,119
4092.31,4609.74,119
4096.92,4614.36,119
4102.05,4622.56,119
4095.9,4620.0,119
4085.64,4613.33,119
4088.72,4616.41,119
4099.49,4626.15,119
4100.51,4632.31,119
4100.51,4632.31,119
4099.49,4629.23,119
4095.9,4629.74,119
4094.87,4631.79,119
4088.21,4619.49,119
4082.05,4606.15,119
4087.69,4612.82,119
4091.28,4623.08,119
4085.64,4614.87,119
4086.67,4612.31,119
4100.0,4630.26,119
4109.74,4638.46,119
4108.72,4628.72,119
4105.13,4628.21,119
4103.08,4629.23,119
4095.38,4612.82,119
4086.15,4598.46,119
4082.56,4596.92,119
4080.51,4592.82,119
4081.03,4597.95,119
4088.21,4617.95,119
4091.79,4625.64,119
4090.26,4620.0,119
4093.85,4625.13,119
4099.49,4632.82,119
4095.38,4625.13,119
4090.26,4611.79,119
4093.85,4607.18,119
4097.95,4613.85,119
4096.92,4622.05,119
4094.87,4623.59,119
4094.36,4625.13,119
4088.72,4628.72,119
4083.08,4625.64,119
4089.23,4621.03,119
4097.44,4620.51,119
4096.41,4619.49,119
4088.72,4612.82,119
4084.1,4608.72,119
4083.08,4613.85,119
4084.62,4618.97,119
4086.67,4622.05,119
4086.15,4623.59,119
4089.23,4624.1,119
